site,variety,year,yield
University Farm,Manchuria,1931,27.0
Waseca,Manchuria,1931,48.86667
Morris,Manchuria,1931,27.43334
Crookston,Manchuria,1931,39.93333
Grand Rapids,Manchuria,1931,32.96667
Duluth,Manchuria,1931,28.96667
University Farm,Glabron,1931,43.06666
Waseca,Glabron,1931,55.2
Morris,Glabron,1931,28.76667
Crookston,Glabron,1931,38.13333
Grand Rapids,Glabron,1931,29.13333
Duluth,Glabron,1931,29.66667
University Farm,Svansota,1931,35.13333
Waseca,Svansota,1931,47.33333
Morris,Svansota,1931,25.76667
Crookston,Svansota,1931,40.46667
Grand Rapids,Svansota,1931,29.66667
Duluth,Svansota,1931,25.7
University Farm,Velvet,1931,39.9
Waseca,Velvet,1931,50.23333
Morris,Velvet,1931,26.13333
Crookston,Velvet,1931,41.33333
Grand Rapids,Velvet,1931,23.03333
Duluth,Velvet,1931,26.3
University Farm,Trebi,1931,36.56666
Waseca,Trebi,1931,63.8333
Morris,Trebi,1931,43.76667
Crookston,Trebi,1931,46.93333
Grand Rapids,Trebi,1931,29.76667
Duluth,Trebi,1931,33.93333
University Farm,No. 457,1931,43.26667
Waseca,No. 457,1931,58.1
Morris,No. 457,1931,28.7
Crookston,No. 457,1931,45.66667
Grand Rapids,No. 457,1931,32.16667
Duluth,No. 457,1931,33.6
University Farm,No. 462,1931,36.6
Waseca,No. 462,1931,65.7667
Morris,No. 462,1931,30.36667
Crookston,No. 462,1931,48.56666
Grand Rapids,No. 462,1931,24.93334
Duluth,No. 462,1931,28.1
University Farm,Peatland,1931,32.76667
Waseca,Peatland,1931,48.56666
Morris,Peatland,1931,29.86667
Crookston,Peatland,1931,41.6
Grand Rapids,Peatland,1931,34.7
Duluth,Peatland,1931,32.0
University Farm,No. 475,1931,24.66667
Waseca,No. 475,1931,46.76667
Morris,No. 475,1931,22.6
Crookston,No. 475,1931,44.1
Grand Rapids,No. 475,1931,19.7
Duluth,No. 475,1931,33.06666
University Farm,Wisconsin No. 38,1931,39.3
Waseca,Wisconsin No. 38,1931,58.8
Morris,Wisconsin No. 38,1931,29.46667
Crookston,Wisconsin No. 38,1931,49.86667
Grand Rapids,Wisconsin No. 38,1931,34.46667
Duluth,Wisconsin No. 38,1931,31.6
University Farm,Manchuria,1932,26.9
Waseca,Manchuria,1932,33.46667
Morris,Manchuria,1932,34.36666
Crookston,Manchuria,1932,32.96667
Grand Rapids,Manchuria,1932,22.13333
Duluth,Manchuria,1932,22.56667
University Farm,Glabron,1932,36.8
Waseca,Glabron,1932,37.73333
Morris,Glabron,1932,35.13333
Crookston,Glabron,1932,26.16667
Grand Rapids,Glabron,1932,14.43333
Duluth,Glabron,1932,25.86667
University Farm,Svansota,1932,27.43334
Waseca,Svansota,1932,38.5
Morris,Svansota,1932,35.03333
Crookston,Svansota,1932,20.63333
Grand Rapids,Svansota,1932,16.63333
Duluth,Svansota,1932,22.23333
University Farm,Velvet,1932,26.8
Waseca,Velvet,1932,37.4
Morris,Velvet,1932,38.83333
Crookston,Velvet,1932,32.06666
Grand Rapids,Velvet,1932,32.23333
Duluth,Velvet,1932,22.46667
University Farm,Trebi,1932,29.06667
Waseca,Trebi,1932,49.2333
Morris,Trebi,1932,46.63333
Crookston,Trebi,1932,41.83333
Grand Rapids,Trebi,1932,20.63333
Duluth,Trebi,1932,30.6
University Farm,No. 457,1932,26.43334
Waseca,No. 457,1932,42.2
Morris,No. 457,1932,43.53334
Crookston,No. 457,1932,34.33333
Grand Rapids,No. 457,1932,19.46667
Duluth,No. 457,1932,22.7
University Farm,No. 462,1932,25.56667
Waseca,No. 462,1932,44.7
Morris,No. 462,1932,47.0
Crookston,No. 462,1932,30.53333
Grand Rapids,No. 462,1932,19.9
Duluth,No. 462,1932,22.5
University Farm,Peatland,1932,28.06667
Waseca,Peatland,1932,36.03333
Morris,Peatland,1932,43.2
Crookston,Peatland,1932,25.23333
Grand Rapids,Peatland,1932,26.76667
Duluth,Peatland,1932,31.36667
University Farm,No. 475,1932,30.0
Waseca,No. 475,1932,41.26667
Morris,No. 475,1932,44.23333
Crookston,No. 475,1932,32.13333
Grand Rapids,No. 475,1932,15.23333
Duluth,No. 475,1932,27.36667
University Farm,Wisconsin No. 38,1932,38.0
Waseca,Wisconsin No. 38,1932,58.16667
Morris,Wisconsin No. 38,1932,47.16667
Crookston,Wisconsin No. 38,1932,35.9
Grand Rapids,Wisconsin No. 38,1932,20.66667
Duluth,Wisconsin No. 38,1932,29.33333
